Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews,Price Segment
HP,HP Pavilion Plus MSO 2024 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-ew0107T...,63990,92746.0,31.0,4.2,140.0,11.0,Premium (₹60K-₹1L)
DELL,DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,77990,93021.0,16.0,4.2,678.0,51.0,Premium (₹60K-₹1L)
HP,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,44990,61805.0,27.0,4.2,3020.0,174.0,Mid-Range (₹30K-₹60K)
Other,Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,28990,34990.0,17.0,4.3,845.0,250.0,Budget (< ₹30K)
Acer,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,29990,43000.0,30.0,4.2,6003.0,441.0,Budget (< ₹30K)
Lenovo,Lenovo IdeaPad Slim 5 WUXGA IPS AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home) 13AR...,59990,78790.0,23.0,4.4,17.0,1.0,Mid-Range (₹30K-₹60K)
HP,HP Victus (i7 14th Gen) Intel Core 7 240H - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,119990,135621.0,11.0,4.0,5.0,0.0,Ultra Premium (> ₹1L)
HP,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,49918,56990.0,12.0,4.2,3020.0,174.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD...,62990,82690.0,23.0,4.3,132.0,6.0,Premium (₹60K-₹1L)
HP,HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0568TU Thin and Light Laptop,42990,59999.0,28.0,4.1,152.0,10.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,28990,32999.0,12.0,3.9,3824.0,286.0,Budget (< ₹30K)
HP,HP 15 (i5 14th Gen) Intel Core 5 Intel Core 5 120U 13th Generation - (8 GB/512 GB SSD/Windows 11 Home)...,51990,68793.0,24.0,3.7,36.0,2.0,Mid-Range (₹30K-₹60K)
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 H...",43990,54990.0,20.0,4.3,7201.0,512.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 ...,48990,53790.0,8.0,4.3,20.0,0.0,Mid-Range (₹30K-₹60K)
HP,HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,41200,60990.0,32.0,4.1,109.0,8.0,Mid-Range (₹30K-₹60K)
MSI,MSI Stealth 17 Intel Core i7 13th Gen 13700H - (16 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,279990,347990.0,19.0,,,,Ultra Premium (> ₹1L)
ASUS,ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,66990,89990.0,25.0,4.3,4909.0,380.0,Premium (₹60K-₹1L)
ASUS,ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7209...,79990,129990.0,38.0,4.4,48.0,2.0,Premium (₹60K-₹1L)
Other,Colorful P15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,77999,119999.0,35.0,4.3,126.0,18.0,Premium (₹60K-₹1L)
Apple,Apple MacBook Air M4 - (24 GB/512 GB SSD/macOS Sequoia) MC6C4HN/A,132990,139900.0,4.0,4.7,2624.0,175.0,Ultra Premium (> ₹1L)
ASUS,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...",35990,54990.0,34.0,4.3,7201.0,512.0,Mid-Range (₹30K-₹60K)
MSI,MSI Crosshair A17 HX D8W AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,179990,201990.0,10.0,,,,Ultra Premium (> ₹1L)
MSI,MSI Katana 15 HX B14 Intel Core i5 14450HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,96999,114990.0,15.0,4.3,24.0,4.0,Premium (₹60K-₹1L)
