Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1342...","₹55,999","₹90,990",38% off,4.4,863 Ratings & 65 Reviews
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹39,938","₹56,990",29% off,4.1,"2,867 Ratings & 214 Reviews"
Lenovo LOQ Essential Intel Core i7 12650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...,"₹85,990","₹1,09,990",21% off,4.2,225 Ratings & 11 Reviews
HP Intel Core i5 13th Gen 1334U - (12 GB/512 GB SSD/Windows 11 Home) 15-fd0575TU Thin and Light Laptop,"₹52,990","₹68,417",22% off,4.2,"1,717 Ratings & 85 Reviews"
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹19,990","₹28,690",30% off,3.9,"3,787 Ratings & 332 Reviews"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0500AU / 15-fc0154AU...,"₹37,990","₹44,783",15% off,4.2,"3,491 Ratings & 251 Reviews"
Acer Aspire Go 14 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) AG14-71M Thin and Light...,"₹54,990","₹69,990",21% off,4,57 Ratings & 1 Reviews
HP 15 (i3 14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0885TU Thin and Light ...,"₹47,990","₹50,843",5% off,4.2,"1,326 Ratings & 73 Reviews"
HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,"₹18,990","₹27,990",32% off,3.4,"1,168 Ratings & 86 Reviews"
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,"₹38,990","₹43,990",11% off,4.2,"3,252 Ratings & 290 Reviews"
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) AS15-42 Thin and Light ...,"₹39,990","₹42,990",6% off,4.2,858 Ratings & 98 Reviews
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹33,555","₹39,999",16% off,3.8,"9,082 Ratings & 771 Reviews"
HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 14R G9 Thin and Light ...,"₹44,990","₹78,990",43% off,4.2,111 Ratings & 8 Reviews
Samsung Galaxy Book5 AI Metal Intel Core Ultra 7 255U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,"₹85,350","₹1,09,990",22% off,4.5,343 Ratings & 43 Reviews
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,"₹48,990","₹59,090",17% off,4.1,296 Ratings & 19 Reviews
"HP Professional 14, Intel Core i5 13th Gen 1334U Turbo Boost, Finger Print and Backlite Keyboard - (16...","₹61,999","₹66,734",7% off,4.6,40 Ratings & 7 Reviews
HP Victus Intel Core i5 14th Gen 14450HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹89,990","₹1,05,442",14% off,4.3,447 Ratings & 29 Reviews
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,"₹36,999","₹47,290",21% off,4.2,"7,196 Ratings & 584 Reviews"
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) AL15-52 Thin and Lig...,"₹41,990","₹49,990",16% off,4.1,"1,054 Ratings & 84 Reviews"
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,"₹53,990","₹74,990",28% off,4.3,"5,540 Ratings & 449 Reviews"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹42,990","₹53,327",19% off,4.3,89 Ratings & 2 Reviews
HP Victus AMD Ryzen 7 Hexa Core 7445H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹63,990","₹74,024",13% off,4.2,16 Ratings & 0 Reviews
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...","₹46,990","₹69,990",32% off,4.2,"8,863 Ratings & 488 Reviews"
Infinix Y3 Max Series Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"₹46,999","₹84,990",44% off,4.1,38 Ratings & 6 Reviews
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,"₹49,990","₹69,990",28% off,4.3,"5,540 Ratings & 449 Reviews"
Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"₹74,999","₹84,999",11% off,4.4,600 Ratings & 53 Reviews
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1402IN...,"₹41,999","₹50,990",17% off,4.2,119 Ratings & 11 Reviews
MSI Modern 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) 14 C7M-283IN / 14 C7M-4...,"₹44,990","₹66,990",32% off,4.4,256 Ratings & 21 Reviews
Acer Aspire Intel Celeron Dual Core N4500 - (12 GB/256 GB SSD/Windows 11 Home) A324-45-V2 Thin and Lig...,"₹27,490","₹29,999",8% off,3.8,"2,040 Ratings & 188 Reviews"
HP Pavilion Plus MSO 2024 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-ew0107T...,"₹63,990","₹92,746",31% off,4.2,140 Ratings & 11 Reviews
DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹77,990","₹93,021",16% off,4.2,678 Ratings & 51 Reviews
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,"₹44,990","₹61,805",27% off,4.2,"3,020 Ratings & 174 Reviews"
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,"₹28,990","₹34,990",17% off,4.3,845 Ratings & 250 Reviews
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,"₹29,990","₹43,000",30% off,4.2,"6,003 Ratings & 441 Reviews"
Lenovo IdeaPad Slim 5 WUXGA IPS AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home) 13AR...,"₹59,990","₹78,790",23% off,4.4,17 Ratings & 1 Reviews
HP Victus (i7 14th Gen) Intel Core 7 240H - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"₹1,19,990","₹1,35,621",11% off,4,5 Ratings & 0 Reviews
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,"₹49,918","₹56,990",12% off,4.2,"3,020 Ratings & 174 Reviews"
Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD...,"₹62,990","₹82,690",23% off,4.3,132 Ratings & 6 Reviews
HP Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0568TU Thin and Light Laptop,"₹42,990","₹59,999",28% off,4.1,152 Ratings & 10 Reviews
Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,"₹28,990","₹32,999",12% off,3.9,"3,824 Ratings & 286 Reviews"
HP 15 (i5 14th Gen) Intel Core 5 Intel Core 5 120U 13th Generation - (8 GB/512 GB SSD/Windows 11 Home)...,"₹51,990","₹68,793",24% off,3.7,36 Ratings & 2 Reviews
